policy_id,policy_name,rule_id,rule_name,status,priority,conditions_people,conditions_network,conditions_authcontext,conditions_risk,conditions_riskScore,conditions_identityprovider,actions
00p3skwfhvU3vSPd91d7,Default Policy,0pr8umxmjopAKq8wN1d7,Test,INACTIVE,1,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': True, 'primaryFactor': 'PASSWORD_IDP', 'factorPromptMode': 'SESSION', 'rememberDeviceByDefault': False, 'factorLifetime': 1440, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 720, 'maxSessionLifetimeMinutes': 0}}}"
00p3skwfhvU3vSPd91d7,Default Policy,0pr7ntox2s3EUN9CF1d7,Demo Everyone,INACTIVE,2,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': True, 'primaryFactor': 'PASSWORD_IDP', 'factorPromptMode': 'ALWAYS', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 120, 'maxSessionLifetimeMinutes': 720}}}"
00p3skwfhvU3vSPd91d7,Default Policy,0pr3skwfhwISTEDnN1d7,Default Rule,ACTIVE,3,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},{},{},{},"{'signon': {'access': 'ALLOW', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP_ANY_FACTOR', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 120, 'maxSessionLifetimeMinutes': 0}}}"
