policy_id,policy_name,rule_id,rule_name,status,priority,conditions_people,conditions_network,actions
00pd0kwyt6qIsTjhX1d7,Concentrix Users,0prd0kvlhjyWYN7VD1d7,No password,ACTIVE,1,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},"{'passwordChange': {'access': 'DENY'}, 'selfServicePasswordReset': {'access': 'DENY'}, 'selfServiceUnlock': {'access': 'DENY'}}"
00p7iso2zc7hIZQAP1d7,Active Directory Policy,0pr7nteo16Z50IfXs1d7,Allow from anywhere,ACTIVE,1,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},"{'passwordChange': {'access': 'ALLOW'}, 'selfServicePasswordReset': {'access': 'ALLOW', 'requirement': {'primary': {'methods': ['push']}, 'stepUp': {'required': False}}}, 'selfServiceUnlock': {'access': 'ALLOW'}}"
00p7iso2zc7hIZQAP1d7,Active Directory Policy,0pr7iso2zdvXeL4h51d7,Default Rule,ACTIVE,2,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},"{'passwordChange': {'access': 'DENY'}, 'selfServicePasswordReset': {'access': 'DENY'}, 'selfServiceUnlock': {'access': 'DENY'}}"
00p3skwfiyxUPYe6o1d7,Default Policy,0pr3skwfizXFnbg8l1d7,Default Rule,ACTIVE,1,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},"{'passwordChange': {'access': 'ALLOW'}, 'selfServicePasswordReset': {'access': 'ALLOW', 'requirement': {'primary': {'methods': ['email', 'push', 'sms', 'voice']}, 'stepUp': {'required': False}}}, 'selfServiceUnlock': {'access': 'DENY'}}"
