ID,Status,Name,Priority,Conditions,Settings
00pd0kq9ziJiFagWK1d7,INACTIVE,Concentrix users,1,{'people': {'groups': {'include': ['00gcv8rf72LDpNaPd1d7']}}},"{'type': 'AUTHENTICATORS', 'authenticators': [{'key': 'okta_email', 'enroll': {'self': 'NOT_ALLOWED'}}, {'key': 'google_otp', 'enroll': {'self': 'NOT_ALLOWED'}}, {'key': 'okta_verify', 'enroll': {'self': 'NOT_ALLOWED'}}, {'key': 'okta_password', 'enroll': {'self': 'REQUIRED'}}, {'key': 'phone_number', 'enroll': {'self': 'NOT_ALLOWED'}}, {'key': 'webauthn', 'enroll': {'self': 'NOT_ALLOWED'}, 'constraints': {'aaguidGroups': ['ANY']}}]}"
00p3skwfnwcti53xk1d7,ACTIVE,Default Policy,2,{'people': {'groups': {'include': ['00g3skwfhu5HqakeI1d7']}}},"{'type': 'AUTHENTICATORS', 'authenticators': [{'key': 'okta_email', 'enroll': {'self': 'OPTIONAL'}}, {'key': 'google_otp', 'enroll': {'self': 'OPTIONAL'}}, {'key': 'okta_verify', 'enroll': {'self': 'OPTIONAL'}}, {'key': 'okta_password', 'enroll': {'self': 'REQUIRED'}}, {'key': 'phone_number', 'enroll': {'self': 'OPTIONAL'}}, {'key': 'webauthn', 'enroll': {'self': 'OPTIONAL'}, 'constraints': {'aaguidGroups': ['ANY']}}]}"
