Brand ID,Name,Custom Domain,Created At,Last Updated At
bnddry7n53LfDBluu1d7,Customer A,,,
bnddrykb09zMdYo3E1d7,Customer B,,,
bnd3skwfhsTQQwgzW1d7,Lyra Ratna,,,
