Application Name,Okta Internal Name,Application Type,Username Format,Logo,Groups,Application Settings,Features,Access Policy Name
AAL2 Test Bookmark (bbc.co.uk),bookmark,BOOKMARK,${source.login},https://ok8static.oktacdn.com/assets/img/logos/bookmark-app.b81c03e2607468e5b5f9c9351c99313e.png,[],https://bbc.co.uk,[],AAL2
AAL1 Test Bookmark (google.com),bookmark,BOOKMARK,${source.login},https://ok8static.oktacdn.com/assets/img/logos/bookmark-app.b81c03e2607468e5b5f9c9351c99313e.png,[],https://google.com,[],AAL1 (Low)
AAL3 Test Bookmark (abc.net.au),bookmark,BOOKMARK,${source.login},https://ok8static.oktacdn.com/assets/img/logos/bookmark-app.b81c03e2607468e5b5f9c9351c99313e.png,[],https://abc.net.au,[],CFA - Newly Onboarded Apps (Temp) AAL3
Cherwell Test,dev-cfa-apps_cherwelltest_1,SAML_2_0,${source.email},https://ok8static.oktacdn.com/fs/bcg/4/gfs653dlyqOY5Nbou3l7,"[{'name': 'Cherwell-Test', 'type': 'OKTA_GROUP'}]","{'app': {}, 'signOn': {'defaultRelayState': '', 'ssoAcsUrl': 'https://ictservices.test.cfa.vic.gov.au/CherwellAPI/saml/assertion', 'idpIssuer': 'http://www.okta.com/${org.externalKey}', 'audience': 'https://ictservices.test.cfa.vic.gov.au', 'recipient': 'https://ictservices.test.cfa.vic.gov.au/CherwellAPI/saml/assertion', 'destination': 'https://ictservices.test.cfa.vic.gov.au/CherwellAPI/saml/assertion', 'subjectNameIdTemplate': '${user.userName}', 'subjectNameIdFormat': 'urn:oasis:names:tc:SAML:1.1:nameid-format:emailAddress', 'responseSigned': True, 'assertionSigned': True, 'signatureAlgorithm': 'RSA_SHA256', 'digestAlgorithm': 'SHA256', 'honorForceAuthn': True, 'authnContextClassRef': 'urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport', 'spIssuer': None, 'requestCompressed': False, 'attributeStatements': [{'type': 'EXPRESSION', 'name': 'http://schemas.xmlsoap.org/ws/2005/05/identity/claims/emailaddress', 'namespace': 'urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified', 'values': ['user.email']}], 'inlineHooks': [], 'assertionEncryption': {'enabled': False}, 'allowMultipleAcsEndpoints': False, 'acsEndpoints': [], 'samlSignedRequestEnabled': False, 'slo': {'enabled': False}}}",[],AAL2
Operoo,dev-cfa-apps_operoo_1,SAML_2_0,${source.email},https://ok8static.oktacdn.com/fs/bco/4/fs067atx88cw4shxE3l7,[],"{'app': {}, 'signOn': {'defaultRelayState': '', 'ssoAcsUrl': 'https://sso.operoo.com/australia/7779f7172-dcd2-4fbc-aeee-6a1e55d0dd47/sso', 'idpIssuer': 'http://www.okta.com/${org.externalKey}', 'audience': 'https://sso.operoo.com/australia/7779f7172-dcd2-4fbc-aeee-6a1e55d0dd47/saml_metadata', 'recipient': 'https://sso.operoo.com/australia/7779f7172-dcd2-4fbc-aeee-6a1e55d0dd47/sso', 'destination': 'https://sso.operoo.com/australia/7779f7172-dcd2-4fbc-aeee-6a1e55d0dd47/sso', 'subjectNameIdTemplate': '${user.userName}', 'subjectNameIdFormat': 'urn:oasis:names:tc:SAML:1.1:nameid-format:unspecified', 'responseSigned': True, 'assertionSigned': True, 'signatureAlgorithm': 'RSA_SHA256', 'digestAlgorithm': 'SHA256', 'honorForceAuthn': True, 'authnContextClassRef': 'urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport', 'spIssuer': None, 'requestCompressed': False, 'attributeStatements': [], 'inlineHooks': [], 'assertionEncryption': {'enabled': False}, 'allowMultipleAcsEndpoints': False, 'acsEndpoints': [], 'samlSignedRequestEnabled': False, 'slo': {'enabled': False}}}",[],CFA Default policy
CFA Applications Online (Test),dev-cfa-apps_cfaapplicationsonlinetest_1,SAML_2_0,user.employeeNumber,https://ok8static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,"[{'name': 'secUSER.CFAApplications.Users', 'type': 'APP_GROUP'}, {'name': 'Test Group', 'type': 'OKTA_GROUP'}]","{'app': {}, 'signOn': {'defaultRelayState': '', 'ssoAcsUrl': 'https://applications.test.cfa.vic.gov.au/sso/SignIn', 'idpIssuer': 'http://www.okta.com/${org.externalKey}', 'audience': 'https://applications.test.cfa.vic.gov.au/sso/SignIn', 'recipient': 'https://applications.test.cfa.vic.gov.au/sso/SignIn', 'destination': 'https://applications.test.cfa.vic.gov.au/sso/SignIn', 'subjectNameIdTemplate': '${user.userName}', 'subjectNameIdFormat': 'urn:oasis:names:tc:SAML:1.1:nameid-format:unspecified', 'responseSigned': True, 'assertionSigned': True, 'signatureAlgorithm': 'RSA_SHA256', 'digestAlgorithm': 'SHA256', 'honorForceAuthn': True, 'authnContextClassRef': 'urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport', 'spIssuer': None, 'requestCompressed': False, 'attributeStatements': [{'type': 'EXPRESSION', 'name': 'http://schemas.microsoft.com/ws/2008/06/identity/claims/role', 'namespace': 'urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified', 'values': ['CFAMember']}], 'inlineHooks': [], 'assertionEncryption': {'enabled': False}, 'allowMultipleAcsEndpoints': False, 'acsEndpoints': [], 'samlSignedRequestEnabled': False, 'slo': {'enabled': False}}}",[],AAL2
Resource Tracking System (Test),dev-cfa-apps_resourcetrackingsystemtest_1,SAML_2_0,user.employeeNumber,https://ok8static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,"[{'name': 'secUSER.MDT.Users', 'type': 'APP_GROUP'}]","{'app': {}, 'signOn': {'defaultRelayState': '', 'ssoAcsUrl': 'http://applications.test.cfa.vic.gov.au/rts/home/', 'idpIssuer': 'http://www.okta.com/${org.externalKey}', 'audience': 'http://applications.test.cfa.vic.gov.au/rts/home/', 'recipient': 'http://applications.test.cfa.vic.gov.au/rts/home/', 'destination': 'http://applications.test.cfa.vic.gov.au/rts/home/', 'subjectNameIdTemplate': '${user.userName}', 'subjectNameIdFormat': 'urn:oasis:names:tc:SAML:1.1:nameid-format:unspecified', 'responseSigned': True, 'assertionSigned': True, 'signatureAlgorithm': 'RSA_SHA256', 'digestAlgorithm': 'SHA256', 'honorForceAuthn': True, 'authnContextClassRef': 'urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport', 'spIssuer': None, 'requestCompressed': False, 'attributeStatements': [{'type': 'EXPRESSION', 'name': 'https://schemas.microsoft.com/ws/2008/06/identity/claims/role', 'namespace': 'urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified', 'values': ['manager']}], 'inlineHooks': [], 'assertionEncryption': {'enabled': False}, 'allowMultipleAcsEndpoints': False, 'acsEndpoints': [], 'samlSignedRequestEnabled': False, 'slo': {'enabled': False}}}",[],AAL1 (Low)
ServiceNow (DEV),servicenow_ud,SAML_2_0,${source.login},https://ok8static.oktacdn.com/fs/bcg/4/gfs2mp52lcQacUSa13l7,"[{'name': 'CFA-Staff', 'type': 'OKTA_GROUP'}, {'name': 'CFA-Volunteers', 'type': 'OKTA_GROUP'}, {'name': 'CFA-Unknown', 'type': 'OKTA_GROUP'}, {'name': 'CFA-External Vendors', 'type': 'OKTA_GROUP'}]","{'app': {'cpc_full_domain': 'https://cfasndev.service-now.com', 'swa_domain': None}, 'signOn': {'defaultRelayState': None, 'ssoAcsUrlOverride': None, 'audienceOverride': None, 'recipientOverride': None, 'destinationOverride': None, 'honorForceAuthn': False, 'attributeStatements': []}}",[],CFA - Newly Onboarded Apps (Temp) AAL3
CFA Learning Hub (Staging),dev-cfa-apps_cfalearninghubtest_1,SAML_2_0,user.employeeNumber,https://ok8static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,"[{'name': 'Test Group', 'type': 'OKTA_GROUP'}]","{'app': {}, 'signOn': {'defaultRelayState': '', 'ssoAcsUrl': 'https://cfa14stage.imc-learning.com/idm/saml/SSO/alias/cfa_lms_stage', 'idpIssuer': 'http://www.okta.com/${org.externalKey}', 'audience': 'cfa_lms_stage', 'recipient': 'https://cfa14stage.imc-learning.com/idm/saml/SSO/alias/cfa_lms_stage', 'destination': 'https://cfa14stage.imc-learning.com/idm/saml/SSO/alias/cfa_lms_stage', 'subjectNameIdTemplate': '${user.userName}', 'subjectNameIdFormat': 'urn:oasis:names:tc:SAML:1.1:nameid-format:unspecified', 'responseSigned': True, 'assertionSigned': True, 'signatureAlgorithm': 'RSA_SHA256', 'digestAlgorithm': 'SHA256', 'honorForceAuthn': True, 'authnContextClassRef': 'urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport', 'spIssuer': None, 'requestCompressed': False, 'attributeStatements': [], 'inlineHooks': [], 'assertionEncryption': {'enabled': False}, 'allowMultipleAcsEndpoints': False, 'acsEndpoints': [], 'samlSignedRequestEnabled': False, 'slo': {'enabled': False}}}",[],AAL2
Digital Fire Permits (Test),dev-cfa-apps_digitalfirepermitstest_1,SAML_2_0,user.employeeID,https://ok8static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,"[{'name': 'PermitsAdmin', 'type': 'OKTA_GROUP'}, {'name': 'PermitsAssessor', 'type': 'OKTA_GROUP'}, {'name': 'PermitsClerical', 'type': 'OKTA_GROUP'}, {'name': 'PermitsGranting', 'type': 'OKTA_GROUP'}, {'name': 'PermitsInspecting', 'type': 'OKTA_GROUP'}, {'name': 'PermitsUser', 'type': 'OKTA_GROUP'}]","{'app': {}, 'signOn': {'defaultRelayState': '', 'ssoAcsUrl': 'https://test.firepermits.vic.gov.au/id0/signin/', 'idpIssuer': 'http://www.okta.com/${org.externalKey}', 'audience': 'https://test.firepermits.vic.gov.au/id0/signin/', 'recipient': 'https://test.firepermits.vic.gov.au/id0/signin/', 'destination': 'https://test.firepermits.vic.gov.au/id0/signin/', 'subjectNameIdTemplate': '${user.userName}', 'subjectNameIdFormat': 'urn:oasis:names:tc:SAML:1.1:nameid-format:unspecified', 'responseSigned': True, 'assertionSigned': True, 'signatureAlgorithm': 'RSA_SHA256', 'digestAlgorithm': 'SHA256', 'honorForceAuthn': True, 'authnContextClassRef': 'urn:oasis:names:tc:SAML:2.0:ac:classes:PasswordProtectedTransport', 'spIssuer': None, 'requestCompressed': False, 'attributeStatements': [{'type': 'EXPRESSION', 'name': 'http://schemas.xmlsoap.org/ws/2005/05/identity/claims/emailaddress', 'namespace': 'urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified', 'values': ['user.email']}, {'type': 'EXPRESSION', 'name': 'http://schemas.xmlsoap.org/ws/2005/05/identity/claims/name', 'namespace': 'urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified', 'values': ['user.displayName']}, {'type': 'EXPRESSION', 'name': 'AgencyName', 'namespace': 'urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified', 'values': ['CFA']}, {'type': 'EXPRESSION', 'name': 'objectGUID', 'namespace': 'urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified', 'values': ['']}, {'type': 'GROUP', 'name': 'http://schemas.microsoft.com/ws/2008/06/identity/claims/role', 'namespace': 'urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified', 'filterType': 'STARTS_WITH', 'filterValue': 'Permits'}], 'inlineHooks': [], 'assertionEncryption': {'enabled': False}, 'allowMultipleAcsEndpoints': False, 'acsEndpoints': [], 'samlSignedRequestEnabled': False, 'slo': {'enabled': False}}}",[],AAL2
