ID,Status,Name,Description,Priority,Provider,Complexity Settings,Lockout Settings,Rules
00p6748fevMUo2ie63l7,ACTIVE,Okta verify desktop pilot,Okta verify desktop pilot,1,,,,Default rule
00p66i9e8nQoKG48s3l7,ACTIVE,CFA External Vendor Password policy,CFA External Vendor Password policy,2,,,,CFA Default Rule
00p66i9yv90DLNuRm3l7,ACTIVE,CFA Generic Account policy,CFA Generic Account policy,3,,,,Default rule
00p4v1bjhhAw0W3Ma3l7,ACTIVE,CFA Volunteer Password policy,CFA Volunteer Password policy,4,,,,Default rule
00p4v1bdbzJGhWIwK3l7,ACTIVE,CFA Staff Password policy,CFA Password policy,5,,,,Default rule
00p4u95d1iUDhdG9z3l7,ACTIVE,Active Directory Policy,The active directory policy contains settings that apply to users using delegated authentication from active directory integrations.,6,,,,Default Rule
00p4sna9h5isglVVk3l7,ACTIVE,Default Policy,The default policy applies in all situations if no other policy applies.,7,,,,"CFA Default Rule, Default Rule"
